Orig Order,Prefix,Reg Number,Suffix,Preceeding Numbers,Other Numbers,Date Catalogued,Catalogued by,Form of Object,Kind of Object,Family,Genus,Species,Subspecies,Type Status,ID Confidence,Identified by,Date Identified,ID Comments,ID Current,Date Collected,Origin Of Specimen,Age Of Material,Collector,Expedition Name,Site Code,Latitude (DMS),Latitude Dec,Longitude (DMS),Longitude Dec,Precision,Determination,Datum,Other Datum,Country,Province/State/Territory,Location,Nearest Named Place,Special Geographic Unit,Method Of Capture,Tissues Collected,ABTC Number,Preservative,Fixative,How Acquired,Acquisition Date,Name of Source,Current Location,Permanent Location,Mammal Age,Sex,Reproductive Condition,Weight,Weight Unit,Weight Age Comments,Head Length,Head/Body Length,Tail Length,Hindfoot Length,Ear/Notch Length,Forearm Length,Total Length,Measurement Unit,Habitat,Notes,Itemised Notes
105,M,8218,,,,1971-01-22,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-10-23,,I,"Reeves, P",,,35 45 00 S,-35.7500,140 48 00 E,140.8000,3 (within 1 minute),,,,Australia,South Australia,"N, 6 miles",Bunns Bore,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,86,102,22.0,17.5,,188,mm,,Other Measurements: T.L. 188mm,
106,M,8219,,,,1971-01-22,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-10-23,,I,"Reeves, P",,,35 45 00 S,-35.7500,140 48 00 E,140.8000,3 (within 1 minute),,,,Australia,South Australia,"N, 6 miles",Bunns Bore,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,82,98,20.6,17.4,,180,mm,,Other Measurements: T.L. 180mm,
107,M,8220,,,,1971-01-22,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-10-23,,I,"Reeves, P",,,35 45 00 S,-35.7500,140 48 00 E,140.8000,3 (within 1 minute),,,,Australia,South Australia,"N, 6 miles",Bunns Bore,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,88,64,21.7,18.7,,152,mm,,"Tail damaged.
Other Measurements: T.L. 152mm",
108,M,8221,,,,1971-01-22,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-10-23,,I,"Reeves, P",,,35 45 00 S,-35.7500,140 48 00 E,140.8000,3 (within 1 minute),,,,Australia,South Australia,"N, 6 miles",Bunns Bore,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,86,96,20.7,16.3,,182,mm,,Other Measurements: T.L. 182mm,
109,M,8222,,,,1971-01-22,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-10-23,,I,"Reeves, P",,,35 45 00 S,-35.7500,140 48 00 E,140.8000,3 (within 1 minute),,,,Australia,South Australia,"N, 6 miles",Bunns Bore,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,81,106,21.7,16.3,,187,mm,,Other Measurements: T.L. 187mm,
110,M,8223,,,,1971-01-25,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-11-08,,I,"Reeves, P",,,37 06 00 S,-37.1000,140 35 00 E,140.5833,4 (within 10 minutes),,,,Australia,South Australia,,Big Heath Conservation Park,Big Heath Conservation Park,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Female,,,,,,86,96,20.7,16.3,,182,mm,,Other Measurements: T.L. 182mm,
111,M,8224,,,,1971-01-25,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-11-08,,I,"Reeves, P",,,37 06 00 S,-37.1000,140 35 00 E,140.5833,4 (within 10 minutes),,,,Australia,South Australia,,Big Heath Conservation Park,Big Heath Conservation Park,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,81,106,21.7,16.3,,187,mm,,Other Measurements: T.L. 187mm,
112,M,8225,,,,1971-01-25,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-10-23,,I,"Reeves, P",,,35 45 00 S,-35.7500,140 48 00 E,140.8000,3 (within 1 minute),,,,Australia,South Australia,"N, 6 miles",Bunns Bore,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,96,30,21.9,17.5,,126,mm,,"Tail damaged.
Other Measurements: T.L. 126mm",
113,M,8226,,,,1971-01-25,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-11-08,,I,"Reeves, P",,,37 06 00 S,-37.1000,140 35 00 E,140.5833,4 (within 10 minutes),,,,Australia,South Australia,,Big Heath Conservation Park,Big Heath Conservation Park,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Female,,,,,,82,98,20.2,16.2,,180,mm,,Other Measurements: T.L. 180mm,
114,M,8227,,,,1971-01-25,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-11-08,,I,"Reeves, P",,,37 06 00 S,-37.1000,140 35 00 E,140.5833,4 (within 10 minutes),,,,Australia,South Australia,,Big Heath Conservation Park,Big Heath Conservation Park,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Female,,,,,,84,92,22.0,17.8,,176,mm,,"Tail slightly damaged.
Other Measurements: T.L. 176mm",
115,M,8228,,,,1971-01-25,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-11-08,,I,"Reeves, P",,,37 06 00 S,-37.1000,140 35 00 E,140.5833,4 (within 10 minutes),,,,Australia,South Australia,,Big Heath Conservation Park,Big Heath Conservation Park,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Female,,,,,,87,106,21.6,17.3,,193,mm,,Other Measurements: T.L. 193mm,
116,M,8229,,,,1971-01-25,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-11-08,,I,"Reeves, P",,,37 06 00 S,-37.1000,140 35 00 E,140.5833,4 (within 10 minutes),,,,Australia,South Australia,,Big Heath Conservation Park,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Female,,,,,,88,98,20.5,15.9,,186,mm,,Other Measurements: T.L. 186mm,
123,M,8996,,,,1973-11-02,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1973-05-21,2,I,"James, C T",,,35 49 30 S,-35.8250,139 23 00 E,139.3833,4 (within 10 minutes),,,,Australia,South Australia,"S, 11 miles (= ""Belacre"")",Meningie,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Female,,,,,,84.7,104.8,21.8,18.8,,189.5,mm,,Other Measurements: T.L. 189.5mm,
135,M,9484,,,,1975-09-01,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1975-01-01,,I,FNSSA Mammal Club,,,36 49 00 S,-36.8167,140 25 00 E,140.4167,4 (within 10 minutes),,,,Australia,South Australia,,Fairview Conservation Park,Fairview Conservation Park,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,,,,,,,,In open forest of E. leucoxylon with understorey of grass & sparse Melaleuca halmatorium. Open forest of E. leucoxylon with understorey of grass & sparse Melaleuca halmatorium.,,
137,M,9551,,W2631,W2631,1975-09-17,,(MS)C,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,1,,,,Yes,1969-10-11,,I,"Aitken, P F",,,36 08 00 S,-36.1333,141 27 00 E,141.4500,5 (within 30 minutes),,,,Australia,Victoria,Pigick (near Yanac),Yanac,,,,,,,C,,,,[DC],Adult,Female,,,,,,82,107,22,19,,189,mm,,"Mounted skin missing on 20.vi.1986 [G.P. Browning]. On temporary visual storage in blue room Level 2 [M. Long June 2000]
Other Measurements: T.L. 189mm",
146,M,10933,,NPWS 14,NPWS 14,1981-06-12,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1975-07-31,2,I,"Henderson, R - NPWS",,,35 45 00 S,-35.7500,140 39 00 E,140.6500,4 (within 10 minutes),,,,Australia,South Australia,"NW, 10 miles",Bunns Bore,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,,Male,,,,,,89,109,22.0,18.5,,198,mm,,Other Measurements: T.L. 198mm,
149,M,11646,,V35,V35,1985-02-06,,CW,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,1,Kemper,1984,,Yes,1980-04-07,1,I,"Hutchinson R.,(FNSSA Mammal Club)",,,36 58 00 S,-36.9667,140 45 00 E,140.7500,4 (within 10 minutes),,,,Australia,South Australia,Staleigh Park (near Naracoorte),Naracoorte,,,,,3,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,,Female,,,,,,,,,,,,,,,
150,M,11647,,,,1985-02-06,,CW,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,1,Kemper,1985,,Yes,1982-07-02,1,I,"Bellchambers, K",,,37 28 30 S,-37.4750,140 51 00 E,140.8500,3 (within 1 minute),,,,Australia,South Australia,"10 km S (= Penola Forest Reserve, HQ scrub, Block D1)",Penola,Penola Forest Reserve,,,,3,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,,Female,Vagina perforate; teats regressed,,,,,75,94,20.3,17.3,,,mm,,,
151,M,11648,,,,1985-02-06,,CW,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,1,Kemper,1985,,Yes,1982-10-20,,I,"Bellchambers, K",,,37 28 30 S,-37.4750,140 51 00 E,140.8500,3 (within 1 minute),,,,Australia,South Australia,"10 km S (= Penola Forest Reserve, HQ scrub, Block D1)",Penola,Penola Forest Reserve,,,,2,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,,Female,Vagina perforate; teats regressed,,,,,,,20.5,14.6,,,mm,,,
179,M,13502,,V957,V957,1987-03-20,,C,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,1,Bellchambers,1981,,Yes,1981-09-04,1,I,"Bellchambers, K",,,37 28 00 S,-37.4667,140 51 00 E,140.8500,3 (within 1 minute),,,,Australia,South Australia,'H.Q. Scrub' block 01,Penola Forest Reserve,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,,Unknown,,,,,,,,,,,,,,,
180,M,13666,,"CW216,EBUM4E","CW216, EBUM4E",1987-04-30,,C,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-10-04,2,I,"Crouch, C",,,35 26 00 S,-35.4333,141 16 00 E,141.2667,6 (within 1 degree),,,,Australia,Victoria,,Big Desert,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,22.5,g,,,,,,,,,,,"arrived on 06101969,so collection date is approx. weighed on arrival escaped 07111969,not found by 27111969.date of death by inference[L.Queale,July 1987]",
401,M,21124,,"BC004A, 00.210","00.210, BC004A",2001-02-26,,PC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,1,Kemper&Long,2001,,Yes,2000-10-,1,I,Waterhouse Club,Waterhouse Club Survey,BC004,36 00 56 S,-36.0156,139 50 50 E,139.8472,3 (within 1 minute),,,,Australia,South Australia,9.8 km N (=),Pitlochry Homestead,Bonnys Camp SE,insect pitfall,none,,3,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,,,,,,,,Eucalyptus / Banksia & heath,Date collected: 6-15 Oct. 2000,
402,M,21125,,"BC004B, 00.210","00.210, BC004B",2001-02-26,,PC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,1,Kemper&Long,2001,,Yes,2000-10-,1,I,Waterhouse Club,Waterhouse Club Survey,BC004,36 00 56 S,-36.0156,139 50 50 E,139.8472,3 (within 1 minute),,,,Australia,South Australia,9.8 km N (=),Pitlochry Homestead,Bonnys Camp SE,insect pitfall,none,,3,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Female,,,,,,,,,,,,,Eucalyptus / Banksia & heath,Date collected: 6-15 Oct. 2000,
403,M,21126,,"BC004C, 00.210","00.210, BC004C",2001-02-26,,PC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,1,Kemper&Long,2001,,Yes,2000-10-,1,I,Waterhouse Club,Waterhouse Club Survey,BC004,36 00 56 S,-36.0156,139 50 50 E,139.8472,3 (within 1 minute),,,,Australia,South Australia,9.8 km N (=),Pitlochry Homestead,Bonnys Camp SE,insect pitfall,none,,3,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,,,,,,,,Eucalyptus / Banksia & heath,Date collected: 6-15 Oct. 2000,
456,M,21856,,WAM 21303,WAM 21303,2003-10-22,,CW,PreservedSpecimen,Muridae,Pseudomys,chapmani,,,1,Kitchener,1985,,Yes,1985-05-31,1,I,Henry & Youngson,Channar,,23 18 00 S,-23.3000,117 44 30 E,117.7417,2 (within 10 seconds),,,,Australia,Western Australia,4 km N,Mount Maguire,Hamersley Range,pitfall trap,,,2,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,68,96,11.9,12.0,,,mm,Triodia,,
457,M,21857,,WAM 40537,WAM 40537,2003-10-22,,CW,PreservedSpecimen,Muridae,Pseudomys,chapmani,,,1,Cooper,1992,,Yes,1992-08-20,1,I,"Piggott, M",,,21 21 00 S,-21.3500,117 14 00 E,117.2333,4 (within 10 minutes),,,,Australia,Western Australia,,Python Pool,Chichester Range,elliott trap,,,2,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Female,pregnant,23,g,,,72,102,15.7,12.6,,,mm,,,
461,M,13678,,"CW377,EBUF1A","CW377, EBUF1A",1987-05-04,,SC,PreservedSpecimen,Muridae,Pseudomys,fieldi,,,1,Watts,1975,,Yes,,3,I,,,,,,,,,,,,CAP,,,lab colony,,,,,,,D,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Juvenile,Female,,,,,,,,,,,,,,"stock from Bernier Island parents:F488,M483 sibling of m13681",
462,M,13679,,"CW378,EBUM2B","CW378, EBUM2B",1987-05-04,,C,PreservedSpecimen,Muridae,Pseudomys,fieldi,,,1,Watts,1975,,Yes,,3,I,,,,,,,,,,,,CAP,,,lab colony,,,,,,,D,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,34,g,,,113,108,25.5,20,,,mm,,"stock from Bernier Island parents:F488,M483 sibling of m13680",
463,M,13680,,"CW388,EBUM2A","CW388, EBUM2A",1987-05-04,,C,PreservedSpecimen,Muridae,Pseudomys,fieldi,,,1,Watts,1975,,Yes,,3,I,,,,,,,,,,,,CAP,,,lab colony,,,,,,,D,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,30,g,,,110,100,26,19,,,mm,,"stock from Bernier Island parents:F488,M483 same litter as m13679",
466,M,2412,,F,F,1928,,C,PreservedSpecimen,Muridae,Zyzomys,pedunculatus,,"Syntype of Zyzomys pedunculatus (Waite, 1896)",1,,,,Yes,,,U,"Waite, E R",Horn Expedition,,24 00 00 S,-24.0000,133 20 00 E,133.3333,7 (within 5 degrees),,,,Australia,Northern Territory,Alice Springs or Illamurta,Alice Springs,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,,,,,,,,,,,,,,,,"Syntype of Conilurus pedunculatus Waite, 1896 (see Aitken, 1976, Rec. S. Aust. Mus. 17, 169-219).",
467,M,2437,,B,B,1928,,C,PreservedSpecimen,Muridae,Zyzomys,pedunculatus,,"Syntype of Zyzomys pedunculatus (Waite, 1896)",1,,,,Yes,,,U,"Waite, E R",Horn Expedition,,23 42 00 S,-23.7000,133 52 00 E,133.8667,4 (within 10 minutes),,,,Australia,Northern Territory,,Alice Springs,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,,,,,,,,,,,,,,,,"Syntype of Conilurus pedunculatus Waite, 1896 (see Aitken, 1976, Rec. S. Aust. Mus. 17, 169-219).",
468,M,4379,,,,1936,,CW,PreservedSpecimen,Muridae,Zyzomys,pedunculatus,,"Syntype (possible) of Zyzomys pedunculatus (Waite, 1896)",,,,,Yes,1900-10-01,,I,"Spencer, B",,,23 42 00 S,-23.7000,133 52 00 E,133.8667,5 (within 30 minutes),,,,Australia,Northern Territory,,Alice Springs,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,,Female,,,,,,,,,,,,,,"Possibly a syntype of Conilurus pedunculatus Waite, 1896 (see Aitken, 1976, Rec. S. Aust. Mus. 17, 169-219).",
470,M,4385,,,,1936,,CW,PreservedSpecimen,Muridae,Zyzomys,pedunculatus,,"Syntype (possible) of Zyzomys pedunculatus (Waite, 1896)",,,,,Yes,1896,,I,,Horn Expedition (?),,23 42 00 S,-23.7000,133 52 00 E,133.8667,4 (within 10 minutes),,,,Australia,Northern Territory,,Alice Springs,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,,Male,,,,,,,,,,,,,,"Possibly a syntype of Conilurus pedunculatus Waite, 1896 (see Aitken, 1976, Rec. S. Aust. Mus. 17, 169-219) but more likely to be one of four specimens referred to by Waite, 1898, Proc. Roy. Soc. Victoria 10, 114-128. [G.P. Browning, 1985].",
471,M,4386,,,,1936,,CW,PreservedSpecimen,Muridae,Zyzomys,pedunculatus,,"Syntype (possible) of Zyzomys pedunculatus (Waite, 1896)",,,,,Yes,1896,,I,,Horn Expedition (?),,23 42 00 S,-23.7000,133 52 00 E,133.8667,4 (within 10 minutes),,,,Australia,Northern Territory,,Alice Springs,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,,Male,,,,,,,,,,,,,,"Possibly a syntype of Conilurus pedunculatus Waite, 1896 (see Aitken, 1976, Rec. S. Aust. Mus. 17, 169-219) but more likely to be one of four specimens referred to by Waite, 1898, Proc. Roy. Soc. Victoria 10, 114-128. [G.P. Browning, 1985].",